Country,Year,Urban_Pop,Pop_0_14,Pop_15_64,Pop_Total,Net_Migration,Mortality_Rate,Fertility_Rate,Pop_Density,Female_Pop,Electricity,Mobile_Users,Land_Area,GDP,GDP_PCAP,Foreign_Invest,Inflation,GINI,Military_Expense,Unemployment,Labor_Force,Labor_Female,Primary_Completion,Literacy_Rate,Political_Stability,Season,Count_Athlete,Avg_Age,Avg_Height,Avg_Weight,Count_Medal,Count_Male,Count_Female
Afghanistan,1960,8.401,41.6271864684651,55.5397840942487,8622466.0,2606.0,244.43333333333334,7.282,10.037177239794413,48.0830541981841,-0.8144236246745322,-10.395182705,652230.0,-1734032883.9872189,-13.041298264372635,-13198759.328571428,37.43605025454703,,2.9227476695352888,7.684749999999999,2902880.5,15.910651217144373,27.6641998291016,,-2.3560978770256003,Summer,16,23.3125,170.6875,69.4375,0,16,0
Afghanistan,1964,9.586,42.0593887198501,55.181682160916,9355514.0,7079.0,244.43333333333334,7.304,10.037177239794413,48.3852731127333,-0.8144236246745322,-10.395182705,652230.0,-1471810650.6538856,10.100400640802548,-13198759.328571428,37.43605025454703,,2.9227476695352888,7.684749999999999,2902880.5,15.910651217144373,27.6641998291016,,-2.3560978770256003,Summer,8,22.0,161.0,64.25,0,8,0
Afghanistan,1968,10.918,43.2083750435887,54.0996271436168,10247780.0,3333.0,228.93333333333334,7.363,11.405200789769118,48.6260048517825,-0.8144236246745322,-10.395182705,652230.0,-898477328.4316633,58.60209552445238,-13198759.328571428,37.43605025454703,,2.9227476695352888,7.684749999999999,2902880.5,15.910651217144373,27.6641998291016,,-2.3560978770256003,Summer,5,23.2,170.2,70.0,0,5,0
Afghanistan,1972,12.41,44.2605080602237,53.1029186650456,11286753.0,-4050.0,213.63333333333335,7.453,12.998155728977679,48.8163513456882,-0.8144236246745322,-10.395182705,652230.0,-676255219.5427744,65.95464952969112,-13198759.328571428,37.43605025454703,,2.9227476695352888,7.684749999999999,2902880.5,15.910651217144373,27.6641998291016,,-2.3560978770256003,Summer,8,29.0,168.33333333333334,63.75,0,8,0
Afghanistan,1980,15.995,45.9728550490178,51.5025969974368,12486631.0,-1205401.0,181.93333333333334,7.588,14.837810452004831,49.1474121402322,-0.8144236246745322,-10.395182705,652230.0,1369912626.8971348,216.2391182747262,-4348759.328571428,37.43605025454703,,2.9227476695352888,7.684749999999999,2902880.5,15.910651217144373,27.6641998291016,,-2.3560978770256003,Summer,11,23.636363636363637,168.36363636363637,63.18181818181818,0,11,0
Afghanistan,1988,20.998,47.2213523826043,50.5264791565855,10383460.0,-89837.0,148.33333333333334,7.531,11.613225566305001,49.9646553268371,-0.8144236246745322,-10.395182705,652230.0,2949014353.548036,146.24698932349185,-13348759.328571428,37.43605025454703,,2.9227476695352888,7.684749999999999,2902880.5,15.910651217144373,82.9104614257812,,-2.3560978770256003,Summer,5,25.196978241013454,174.22171187588944,70.12628561661369,0,5,0
Afghanistan,1996,21.714,48.7306518705022,48.985053747252,17106595.0,27194.0,120.33333333333333,7.709,21.92114608514038,49.9071907647314,-0.8144236246745322,-10.395182705,652230.0,2949014353.548036,146.24698932349185,-12658759.328571428,37.43605025454703,,2.9227476695352888,7.684749999999999,2902880.5,15.910651217144373,82.9104614257812,,-2.3560978770256003,Summer,2,23.5,174.22171187588944,70.12628561661369,0,2,0
Afghanistan,2004,22.5,49.9220361703005,47.7813164516322,23553551.0,-248616.0,99.43333333333332,7.069,31.805628552981485,49.6350847479431,-0.8144236246745322,-7.847796112999999,652230.0,2949014353.548036,146.24698932349185,173551240.67142856,37.43605025454703,,2.9227476695352888,7.572750000000001,4339026.5,16.015256739947073,82.9104614257812,,-2.23447054624557,Summer,5,18.6,170.75,64.75,0,3,2
Afghanistan,2008,23.32,49.8904632307041,47.7919226324364,26427199.0,221000.0,88.63333333333333,6.376,36.21150991385112,49.5254604924268,17.771394093831365,19.494133225,652230.0,7977959623.471371,312.4386153284021,32684980.671428572,37.43605025454703,,2.827039584083108,7.54175,5012383.5,15.583589711381489,82.9104614257812,,-2.63014930486679,Summer,4,22.5,179.25,62.75,1,3,1
Afghanistan,2012,24.16,47.4324904337073,50.1755248805667,30466479.0,105905.0,78.73333333333333,5.83,42.404539979932096,49.4555770622526,44.471394093831364,39.955614315000005,652230.0,17931762264.40396,587.7303800415082,43474900.671428576,17.45859890914381,,1.6669100022439782,7.53875,6318653.5,16.199540165536316,82.9104614257812,,-2.35734981298447,Summer,6,24.833333333333332,171.66666666666666,60.833333333333336,1,5,1
